data_id,data_cnt,origin_vote,S_id,vote,random_label
900,1,2,505,11,10
901,1,14,506,15,1
902,1,15,507,14,22
903,1,15,508,14,2
904,63,16,20,20,25
905,44,1,1,1,24
906,75,9,10,10,22
907,53,22,21,21,21
908,1,25,509,25,21
909,86,8,7,7,15
910,56,14,15,15,24
911,86,8,7,7,1
912,86,8,7,7,16
913,53,22,21,21,13
914,53,22,21,21,10
915,1,23,510,22,8
916,37,3,4,4,25
917,1,15,511,14,16
918,75,9,10,10,4
919,1,16,512,20,20
920,1,25,513,25,25
921,1,2,514,3,2
922,1,2,515,3,10
923,1,21,516,23,12
924,1,10,517,2,8
925,33,20,17,17,2
926,1,2,518,11,24
927,44,1,1,1,21
928,1,15,519,14,18
929,1,17,520,19,5
930,1,15,521,14,19
931,53,22,21,21,19
932,9,18,18,18,14
933,1,20,522,6,13
934,86,8,7,7,21
935,1,13,523,9,2
936,1,13,524,9,11
937,1,13,525,9,12
938,1,13,526,9,4
939,86,8,7,7,6
940,63,16,20,20,8
941,63,16,20,20,8
942,1,6,527,6,2
943,1,17,528,19,2
944,23,4,13,13,21
945,1,7,529,12,1
946,67,11,11,11,21
947,67,11,11,11,7
948,1,11,530,11,22
949,1,15,531,14,8
950,53,22,21,21,21
951,53,22,21,21,8
952,56,14,15,15,14
953,1,25,532,25,24
954,1,23,533,22,10
955,1,21,534,8,12
956,1,24,535,23,24
957,1,23,536,22,5
958,67,11,11,11,13
959,1,24,537,24,14
960,1,24,538,24,25
961,1,2,539,3,11
962,56,14,15,15,17
963,1,21,540,23,24
964,53,22,21,21,20
965,1,22,541,21,3
966,1,15,542,14,12
967,75,9,10,10,18
968,1,16,543,20,8
969,32,25,25,25,15
970,75,9,10,10,22
971,63,16,20,20,16
972,1,7,544,12,7
973,1,18,545,18,1
974,1,18,546,18,10
975,75,9,10,10,10
976,1,10,547,2,8
977,33,20,17,17,7
978,33,20,17,17,3
979,56,14,15,15,1
980,86,8,7,7,4
981,1,23,548,22,20
982,1,20,549,22,5
983,1,23,550,22,3
984,1,23,551,22,13
985,1,23,552,22,16
986,1,13,553,9,7
987,37,3,4,4,20
988,37,3,4,4,11
989,37,3,4,4,6
990,37,3,4,4,14
991,1,15,554,14,20
992,75,9,10,10,10
993,1,23,555,22,19
994,67,11,11,11,18
995,1,23,556,22,14
996,1,25,557,25,10
997,1,5,558,5,3
998,63,16,20,20,20
999,1,19,559,23,15
1000,33,20,17,17,10
1001,75,9,10,10,9
1002,1,19,560,21,22
1003,1,15,561,14,5
1004,1,7,562,12,4
1005,1,10,563,13,10
1006,1,19,564,23,23
1007,86,8,7,7,14
1008,63,16,20,20,25
1009,1,7,565,12,1
1010,1,24,566,24,6
1011,1,19,567,23,6
1012,53,22,21,21,17
1013,1,22,568,21,23
1014,53,22,21,21,21
1015,1,24,569,24,15
1016,1,12,570,16,13
1017,1,10,571,13,19
1018,1,23,572,22,20
1019,1,7,573,12,2
1020,1,2,574,11,6
1021,1,17,575,22,8
1022,1,7,576,12,2
1023,86,8,7,7,7
1024,1,7,577,12,13
1025,86,8,7,7,5
1026,33,20,17,17,19
1027,53,22,21,21,1
1028,1,22,578,21,10
1029,19,23,22,22,13
1030,56,14,15,15,17
1031,32,25,25,25,15
1032,1,23,579,22,8
1033,1,16,580,20,20
1034,67,11,11,11,25
1035,1,15,581,14,20
1036,1,24,582,24,6
1037,44,1,1,1,2
1038,75,9,10,10,20
1039,1,19,583,23,2
1040,1,15,584,14,25
1041,1,15,585,14,16
1042,1,4,586,13,19
1043,1,4,587,13,20
1044,1,18,588,18,1
1045,33,20,17,17,10
1046,33,20,17,17,24
1047,1,7,589,12,17
1048,56,14,15,15,23
1049,1,7,590,12,5
1050,1,13,591,9,24
1051,1,15,592,14,3
1052,53,22,21,21,22
1053,1,4,593,13,9
1054,1,7,594,12,2
1055,9,18,18,18,16
1056,1,17,595,19,3
1057,1,22,596,20,1
1058,1,24,597,24,25
1059,53,22,21,21,22
1060,1,23,598,22,19
1061,1,17,599,19,2
1062,1,19,600,21,15
1063,43,5,5,5,10
1064,1,23,601,22,15
1065,53,22,21,21,20
1066,1,23,602,17,22
1067,67,11,11,11,16
1068,1,15,603,14,19
1069,43,5,5,5,18
1070,1,7,604,12,5
1071,1,11,605,11,23
1072,67,11,11,11,1
1073,1,23,606,22,3
1074,1,7,607,12,11
1075,1,7,608,12,24
1076,19,23,22,22,15
1077,1,25,609,25,18
1078,1,7,610,12,10
1079,1,22,611,21,17
1080,75,9,10,10,14
1081,1,18,612,18,4
1082,53,22,21,21,5
1083,1,15,613,14,8
1084,63,16,20,20,2
1085,1,22,614,21,8
1086,53,22,21,21,24
1087,44,1,1,1,7
1088,1,7,615,12,4
1089,75,9,10,10,13
1090,1,21,616,23,6
1091,1,10,617,2,17
1092,1,15,618,14,20
1093,86,8,7,7,11
1094,1,4,619,13,6
1095,33,20,17,17,5
1096,1,18,620,18,17
1097,1,20,621,23,19
1098,75,9,10,10,1
1099,56,14,15,15,25
1100,44,1,1,1,6
1101,44,1,1,1,20
1102,1,13,622,9,17
1103,1,13,623,9,17
1104,1,6,624,6,24
1105,1,17,625,19,6
1106,37,3,4,4,18
1107,42,6,6,6,4
1108,63,16,20,20,3
1109,1,10,626,2,3
1110,1,18,627,18,11
1111,1,4,628,13,20
1112,67,11,11,11,4
1113,1,16,629,20,3
1114,1,13,630,9,24
1115,1,13,631,9,22
1116,1,17,632,19,25
1117,63,16,20,20,13
1118,75,9,10,10,17
1119,67,11,11,11,5
1120,1,19,633,23,12
1121,1,23,634,22,9
1122,1,22,635,21,13
1123,67,11,11,11,2
